date,daily_ride_count,avg_ride_length_min
2025-04-13,12546,19.14751987353207
2025-04-14,14147,14.658353010061028
2025-04-15,12035,11.569529577620829
2025-04-16,12643,12.051285972474886
2025-04-17,12530,12.88778935887204
2025-04-18,17154,17.327079110800202
2025-04-19,11523,16.858098215163874
2025-04-20,6768,15.479817013888889
2025-04-21,10806,12.527496733296315
2025-04-22,17124,14.434094710153392
2025-04-23,15260,14.303222024901704
2025-04-24,17582,13.954005946422477
2025-04-25,11283,12.533523470412716
2025-04-26,12999,16.481514184424444
2025-04-27,14930,19.79052457691449
2025-04-28,19030,17.619064332632686
2025-04-29,17580,14.919522744596131
2025-04-30,14071,12.422153218202922
2025-05-01,13232,13.504214001410723
2025-05-02,13206,15.636892600585591
2025-05-03,12303,19.52240242488282
2025-05-04,7089,15.681201340104389
2025-05-05,13720,13.13713921404276
2025-05-06,19967,15.015301841371597
2025-05-07,16602,12.376783302212585
2025-05-08,15090,12.54834449083278
2025-05-09,16176,15.367715188138806
2025-05-10,16581,19.742947861005568
2025-05-11,14406,20.662090237863854
2025-05-12,16705,15.137800414047689
2025-05-13,19898,14.859249496599324
2025-05-14,20301,14.613931020639377
2025-05-15,20987,16.737320385635552
2025-05-16,22970,18.085221331446814
2025-05-17,19937,19.37223377806758
2025-05-18,16405,19.14491341867317
2025-05-19,12889,13.146134322548942
2025-05-20,7161,11.069212789182144
2025-05-21,10953,11.291651132109923
2025-05-22,15360,13.187707493489585
2025-05-23,16426,15.616206830634361
2025-05-24,18499,22.10866676937492
2025-05-25,16711,22.323055609079848
2025-05-26,15461,21.504684128883426
2025-05-27,16791,14.632744232029063
2025-05-28,14160,13.645029245527306
2025-05-29,20082,15.318589644125751
2025-05-30,21207,17.222626197324782
2025-05-31,21340,20.98466593955014
2025-06-01,18754,20.28511757491735
2025-06-02,20476,17.42269992348766
2025-06-03,21671,16.85942742836048
2025-06-04,10603,13.302006383413499
2025-06-05,20536,15.753883193741073
2025-06-06,23619,19.87716722412747
2025-06-07,24332,21.915421238150035
2025-06-08,18132,21.580447008052065
2025-06-09,18429,17.417600895328015
2025-06-10,23608,16.55262555842652
2025-06-11,27104,17.66928790522924
2025-06-12,24861,16.70738506227961
2025-06-13,18763,14.766585700580931
2025-06-14,27177,20.965626419398756
2025-06-15,22299,21.850764854178813
2025-06-16,21720,17.605524881062003
2025-06-17,25641,16.5116977022477
2025-06-18,12459,13.791004332878508
2025-06-19,26491,18.307826051615013
2025-06-20,26021,18.991873092246006
2025-06-21,29995,22.209792322053673
2025-06-22,22177,20.99342541972915
2025-06-23,20312,16.50496012455691
2025-06-24,20795,14.766373779754748
2025-06-25,23771,15.617170928161766
2025-06-26,24803,15.552201835127471
2025-06-27,25586,17.371512672294745
2025-06-28,31913,22.506101836242284
2025-06-29,25246,20.62249488169743
2025-06-30,21507,16.12217518792331
2025-07-01,26005,17.157854958661794
2025-07-02,26372,16.873732300040444
2025-07-03,26052,17.398237982368595
2025-07-04,24654,22.631425154133204
2025-07-05,29445,23.858307645893476
2025-07-06,18512,20.3315973647724
2025-07-07,22410,16.840481536516435
2025-07-08,21137,15.633056463389632
2025-07-09,24602,15.487163471804461
2025-07-10,23321,15.544456478424308
2025-07-11,23081,16.90262347313086
2025-07-12,30471,21.37754468620437
2025-07-13,25608,20.65702799971363
2025-07-14,23700,16.31770676793249
2025-07-15,26274,16.274704229149222
2025-07-16,23311,16.275709824403357
2025-07-17,23846,15.637097040733597
2025-07-18,30625,21.440707004081634
2025-07-19,25517,21.241475020574523
2025-07-20,23225,22.403739359167563
2025-07-21,24247,18.738582357954936
2025-07-22,26876,17.063794693530784
2025-07-23,26802,16.04909597853394
2025-07-24,21621,16.265610794289504
2025-07-25,22356,16.526461134221982
2025-07-26,24105,18.875831015695223
2025-07-27,25549,19.5643521442457
2025-07-28,21369,15.680907487481866
2025-07-29,25306,15.253416447351091
2025-07-30,19927,15.470491213763571
2025-07-31,27132,15.757789669025504
2025-08-01,28411,17.674058985369516
2025-08-02,32308,20.91863058427221
2025-08-03,27817,20.97467515488131
2025-08-04,23952,16.808759956023156
2025-08-05,26002,16.329311656795632
2025-08-06,26930,16.184564628048026
2025-08-07,26385,15.501235524603626
2025-08-08,26869,16.460357705286143
2025-08-09,30340,19.34923157218194
2025-08-10,24652,20.03456351479258
2025-08-11,20782,15.052196464087512
2025-08-12,14777,13.143403130991857
2025-08-13,25372,16.106304376872142
2025-08-14,25351,16.25895434959831
2025-08-15,28502,16.835681775547915
2025-08-16,29122,20.006405316713597
2025-08-17,27363,20.21509208481039
2025-08-18,16676,15.314982476812984
2025-08-19,22866,14.38410846234584
2025-08-20,25591,14.732729615229312
2025-08-21,25884,15.120823454643794
2025-08-22,25688,16.512385888352537
2025-08-23,30304,19.504085642709434
2025-08-24,23759,20.239939797550402
2025-08-25,20514,14.514659586136295
2025-08-26,23423,14.335081080561842
2025-08-27,24680,14.820290628038897
2025-08-28,25927,16.787140976588113
2025-08-29,24562,17.392433991531636
2025-08-30,26650,22.112014600375232
2025-08-31,28858,24.305047429944327
2025-09-01,25361,22.388880259716363
2025-09-02,23442,15.538064724995023
2025-09-03,19262,13.006678405669193
2025-09-04,22676,13.76525415858176
2025-09-05,21845,15.455425700007629
2025-09-06,23791,17.289887608759617
2025-09-07,19799,17.44396185750122
2025-09-08,23433,15.640226883739455
2025-09-09,23280,15.16222045890607
2025-09-10,23829,13.90774892427994
2025-09-11,24229,14.590059014679378
2025-09-12,25004,16.04156655201834
2025-09-13,22129,17.711376157982738
2025-09-14,23488,18.900680399210945
2025-09-15,21449,14.34222355587673
2025-09-16,24396,14.077205524812811
2025-09-17,24941,13.993456535423599
2025-09-18,26058,14.725379979277
2025-09-19,26213,16.314110582535385
2025-09-20,23164,18.334684365106774
2025-09-21,23220,18.842569761699682
2025-09-22,21926,14.617434741098847
2025-09-23,22432,13.314921172878032
2025-09-24,24184,13.311411069991179
2025-09-25,25939,13.91155316447563
2025-09-26,26603,15.585926414314175
2025-09-27,30164,19.271848915373734
2025-09-28,24332,21.919554737245875
2025-09-29,22051,14.687825337475246
2025-09-30,25922,14.384287281073991
2025-10-01,25700,13.945326793774319
2025-10-02,26370,13.689344543041335
2025-10-03,25712,14.936866053464012
2025-10-04,29706,18.829136467941378
2025-10-05,23649,18.426656935458865
2025-10-06,19831,13.713355508211052
2025-10-07,16875,11.950808243950616
2025-10-08,23918,13.00634779733534
2025-10-09,25792,13.781988921629445
2025-10-10,23608,15.804737646842879
2025-10-11,25605,17.678268255549046
2025-10-12,30910,23.182953236816566
2025-10-13,21388,16.45588736440995
2025-10-14,22934,14.274514481410424
2025-10-15,17499,12.538994931138921
2025-10-16,23570,14.228334644321878
2025-10-17,23965,15.169065318172334
